DraftNumber,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position
35,College,31.0,31.0,32.1,13.71,5.32,9.68,0.55,0.42,1.61,0.26,2.65,3.97,0.667,2.68,7.65,10.32,3.0,1.19,2.1,1.97,2.61,PF
36,College,31.0,30.0,29.0,13.84,4.52,8.52,0.53,0.42,1.0,0.419,4.39,5.9,0.743,2.0,7.03,9.03,1.48,1.55,1.16,2.42,1.9,PF
37,Overseas,37.0,4.0,9.2,3.16,1.24,2.24,0.5539999999999999,0.32,0.95,0.34299999999999997,0.35,0.65,0.542,0.32,0.92,1.24,0.68,0.27,0.11,0.57,1.54,PG
38,College,32.0,17.0,32.8,18.56,6.25,12.94,0.483,1.22,3.78,0.322,4.84,6.44,0.752,0.56,2.97,3.53,4.19,1.53,0.28,3.09,1.78,PG
39,College,32.0,32.0,36.7,19.03,6.19,14.5,0.4270000000000001,2.44,7.12,0.342,4.22,5.19,0.813,0.44,4.5,4.94,3.41,1.16,0.81,2.28,1.81,SF
40,College,31.0,31.0,33.0,11.35,4.39,8.87,0.495,0.97,2.26,0.429,1.61,2.52,0.6409999999999999,2.19,4.35,6.55,1.29,1.13,1.03,1.87,1.87,G
41,College,29.0,29.0,35.4,16.24,5.59,13.21,0.423,1.34,3.72,0.361,3.72,4.83,0.7709999999999999,0.66,3.59,4.24,6.38,1.79,0.34,2.69,1.76,PG
42,College,31.0,30.0,29.7,14.03,5.26,8.19,0.642,0.0,0.0,0.0,3.52,4.68,0.752,2.61,5.16,7.77,0.23,0.1,2.13,1.58,3.16,C
43,College,27.0,27.0,31.1,15.04,5.48,12.41,0.442,2.22,5.22,0.426,1.85,2.89,0.6409999999999999,0.74,3.26,4.0,2.22,1.33,0.67,2.0,2.19,PG
44,Overseas,24.0,22.0,29.7,16.79,5.88,11.54,0.509,0.79,2.54,0.311,4.25,5.29,0.8029999999999999,3.5,4.54,8.04,1.21,1.08,1.21,2.25,3.83,C
45,College,31.0,30.0,33.2,18.0,6.1,13.87,0.44,2.45,6.1,0.402,3.35,4.13,0.813,1.68,6.03,7.71,1.29,0.74,0.26,2.1,2.23,F
46,College,32.0,32.0,33.4,18.41,6.16,15.56,0.396,2.31,6.81,0.33899999999999997,3.78,4.59,0.823,1.22,6.62,7.84,1.88,1.75,0.81,2.16,2.94,SF
47,Overseas,32.0,17.0,24.4,10.06,3.59,8.09,0.444,0.72,2.69,0.267,2.16,2.66,0.812,0.59,1.81,2.41,3.38,1.0,0.19,2.06,2.12,G
48,College,32.0,32.0,32.3,13.97,4.5,11.47,0.392,1.66,5.06,0.327,3.31,4.16,0.797,0.25,2.25,2.5,5.28,1.19,0.0,2.56,1.72,PG
49,College,26.0,25.0,36.0,16.88,5.08,13.85,0.3670000000000001,3.62,10.58,0.342,3.12,3.5,0.89,0.54,3.58,4.12,1.73,1.38,0.27,1.73,1.85,SG
50,College,31.0,31.0,34.5,16.68,5.45,11.1,0.491,1.61,4.1,0.39399999999999996,4.16,4.87,0.8540000000000001,0.48,4.55,5.03,3.23,1.77,0.23,2.26,1.68,PG
51,College,32.0,32.0,36.0,16.0,5.38,12.62,0.426,3.06,7.72,0.397,2.19,2.28,0.9590000000000001,0.97,3.47,4.44,2.09,1.41,0.47,1.25,2.16,SF
53,College,30.0,30.0,32.6,18.6,6.17,13.77,0.44799999999999995,2.43,5.63,0.4320000000000001,3.83,4.5,0.852,0.2,2.3,2.5,5.87,1.2,0.03,3.2,1.97,PG
54,College,29.0,29.0,27.4,12.55,4.41,9.31,0.474,1.07,2.97,0.36,2.66,3.62,0.733,1.86,3.0,4.86,1.03,0.69,0.72,1.86,2.17,G
55,College,29.0,25.0,2.2,21.86,7.52,15.0,0.501,1.41,4.24,0.33299999999999996,5.41,7.45,0.727,1.45,5.38,6.83,2.69,1.45,0.9,3.07,2.28,SG
56,College,31.0,31.0,33.5,21.87,7.32,14.68,0.499,1.52,4.19,0.36200000000000004,5.71,6.9,0.8270000000000001,0.52,4.61,5.13,3.94,1.58,0.32,3.13,2.26,SG
57,College,31.0,31.0,31.1,17.35,5.9,11.81,0.5,0.74,2.29,0.324,4.81,6.26,0.768,3.13,6.94,10.06,2.29,0.84,1.16,2.9,3.1,F
58,College,29.0,29.0,31.7,15.14,6.28,12.17,0.516,0.55,1.79,0.308,2.03,2.76,0.738,3.28,7.41,10.69,1.62,1.86,2.55,2.28,2.97,F
59,College,30.0,30.0,33.0,21.6,7.43,16.67,0.446,2.23,6.17,0.36200000000000004,4.5,5.47,0.823,0.73,5.67,6.4,3.93,1.13,0.13,2.4,2.3,SG
